"Date","Price","Open","High","Low","Vol.","Change %"
"10/31/2022","79.97","81.77","82.00","78.15","13.80K","-1.53%"
"10/28/2022","81.21","80.27","82.58","80.01","18.87K","1.25%"
"10/27/2022","80.21","75.26","81.00","74.90","26.46K","5.83%"
"10/26/2022","75.79","77.25","78.87","74.90","22.98K","-1.71%"
"10/25/2022","77.11","72.41","77.80","71.99","31.49K","6.62%"
"10/24/2022","72.32","69.00","72.66","67.64","23.32K","5.24%"
"10/21/2022","68.72","66.71","69.42","66.66","12.84K","2.77%"
"10/20/2022","66.87","67.23","67.88","66.54","18.01K","-0.62%"
"10/19/2022","67.29","67.25","69.69","66.99","19.13K","-0.71%"
"10/18/2022","67.77","67.29","68.39","66.51","18.00K","0.39%"
"10/17/2022","67.51","68.01","68.63","66.26","16.57K","-0.75%"
"10/14/2022","68.02","68.72","69.00","67.12","13.34K","-1.19%"
"10/13/2022","68.84","66.37","69.50","65.75","26.08K","3.19%"
"10/12/2022","66.71","66.40","68.64","65.01","21.02K","0.56%"
"10/11/2022","66.34","66.90","67.40","65.65","16.72K","-0.64%"
"10/10/2022","66.77","68.98","69.40","65.71","17.06K","-4.41%"
"10/07/2022","69.85","69.20","70.39","67.63","15.42K","1.29%"
"10/06/2022","68.96","66.89","69.49","65.50","15.70K","2.82%"
"10/05/2022","67.07","67.72","71.36","66.54","19.79K","0.22%"
"10/04/2022","66.92","66.62","68.35","65.40","19.88K","1.49%"
"10/03/2022","65.94","66.55","66.73","64.25","14.31K","-1.18%"
"09/30/2022","66.73","64.86","68.66","64.86","16.14K","1.52%"
"09/29/2022","65.73","65.53","66.86","64.14","19.93K","0.89%"
"09/28/2022","65.15","67.80","68.27","64.37","24.12K","-4.13%"
"09/27/2022","67.96","70.33","71.10","67.37","16.53K","-3.37%"
"09/26/2022","70.33","65.15","71.95","64.10","20.57K","6.93%"
"09/23/2022","65.77","70.01","70.30","65.35","22.61K","-6.63%"
"09/22/2022","70.44","69.90","71.12","69.01","12.49K","0.93%"
"09/21/2022","69.79","71.79","71.79","69.10","16.73K","-1.90%"
"09/20/2022","71.14","70.55","73.00","70.26","14.61K","0.06%"
"09/19/2022","71.10","73.32","73.80","70.15","18.64K","-2.96%"
"09/16/2022","73.27","71.85","73.93","71.11","15.44K","1.98%"
"09/15/2022","71.85","72.38","72.55","70.00","27.11K","-0.95%"
"09/14/2022","72.54","70.49","73.80","68.41","21.27K","4.00%"
"09/13/2022","69.75","71.99","72.44","68.01","24.20K","-2.88%"
"09/12/2022","71.82","65.99","72.62","65.73","22.24K","8.69%"
"09/09/2022","66.08","67.05","67.95","65.55","19.89K","-1.73%"
"09/08/2022","67.24","69.31","69.31","66.00","24.73K","-2.59%"
"09/07/2022","69.03","69.51","71.11","68.00","28.87K","-1.22%"
"09/06/2022","69.88","74.00","74.71","69.20","36.85K","-6.14%"
"09/05/2022","74.45","77.49","77.49","73.70","29.61K","-4.42%"
"09/02/2022","77.89","80.75","81.22","77.45","19.11K","-3.59%"
"09/01/2022","80.79","80.41","81.35","77.45","28.26K","0.95%"
