Date,TTF,Power,EUA,CSS
2022-07-01,147.785,314.38,85.58,-12.854599999999998
2022-07-05,165.075,318.37,83.19,-42.56029999999997
2022-07-06,171.0,303.54,83.22,-69.25139999999998
2022-07-07,183.185,213.22,84.92,-184.5704
2022-07-08,175.21,295.92,82.79,-85.1323
2022-07-11,164.52,372.59,84.36,12.336799999999954
2022-07-12,172.61,377.66,85.65,0.7494999999999976
2022-07-13,180.505,352.16,83.86,-39.878199999999964
2022-07-14,175.035,367.38,83.97,-13.758899999999997
2022-07-15,159.565,329.92,85.38,-20.800599999999978
2022-07-18,157.26,396.07,84.94,50.122200000000014
2022-07-19,154.455,397.09,83.65,57.229499999999945
2022-07-20,155.04,332.7,78.84,-6.550799999999995
2022-07-21,155.6,396.73,78.11,56.62930000000003
2022-07-22,159.865,377.45,76.3,29.488999999999972
2022-07-25,176.615,309.81,76.37,-71.67690000000002
2022-07-26,199.92,316.57,76.68,-111.64159999999998
2022-07-27,205.225,424.49,76.14,-14.13179999999998
2022-07-28,198.93,473.25,78.96,46.17479999999999
2022-07-29,190.915,438.65,78.55,27.756499999999996
2022-08-01,200.795,424.62,80.58,-6.784599999999969
2022-08-02,205.175,380.51,81.95,-60.16150000000003
2022-08-03,199.195,384.83,83.99,-44.6363
2022-08-04,199.25,414.16,84.19,-15.490299999999973
2022-08-05,196.32,380.31,84.76,-43.69119999999998
2022-08-08,193.055,359.55,83.81,-57.5697
2022-08-09,192.185,344.87,85.93,-71.2941
2022-08-10,205.365,335.08,85.92,-107.44040000000004
2022-08-11,208.11,368.15,87.55,-80.46350000000004
2022-08-12,206.11,436.8,88.87,-8.301900000000018
2022-08-15,220.11,426.6,90.78,-47.208600000000004
2022-08-16,225.915,490.79,92.08,4.890400000000035
2022-08-17,225.835,551.95,95.8,64.83400000000003
2022-08-18,241.005,563.76,96.04,46.215199999999996
2022-08-19,244.55,515.1,98.01,-10.2637
2022-08-22,276.75,563.81,92.17,-23.792900000000053
2022-08-23,269.05,605.13,89.29,33.99269999999997
2022-08-24,292.15,624.34,89.24,7.0212000000000785
2022-08-25,321.415,599.83,89.31,-76.0447
2022-08-26,339.195,699.44,90.31,-12.364699999999935
2022-08-29,272.605,658.41,86.66,81.13579999999993
2022-08-30,252.937,660.24,80.81,124.46629999999999
2022-08-31,239.905,604.49,80.03,95.06890000000001
2022-09-01,243.005,571.2,80.79,55.29770000000005
2022-09-02,214.665,422.25,77.89,-35.89929999999998
2022-09-06,239.84,417.27,69.88,-88.26560000000002
2022-09-07,213.885,462.47,69.03,9.158900000000045
2022-09-08,220.54,443.52,67.24,-22.4388
2022-09-09,207.09,345.7,66.08,-92.92960000000002
2022-09-12,190.59,408.03,71.82,0.27659999999997
2022-09-13,198.61,392.37,69.75,-30.657500000000024
2022-09-14,217.88,455.81,72.54,-6.789799999999989
2022-09-15,214.285,369.37,71.85,-85.78449999999998
2022-09-16,187.795,201.2,73.27,-201.4999
2022-09-19,182.26,261.68,71.1,-129.14699999999996
2022-09-20,194.26,363.42,71.14,-51.42179999999996
2022-09-21,189.78,379.94,69.79,-25.442300000000007
2022-09-22,187.47,387.89,70.44,-13.11280000000001
2022-09-23,185.495,368.33,65.77,-26.994900000000023
2022-09-26,173.835,245.93,70.33,-127.7621
2022-09-27,186.1,310.21,67.96,-87.13520000000001
2022-09-28,207.185,386.2,65.15,-52.27550000000002
2022-09-29,187.665,417.14,65.73,17.489900000000002
2022-09-30,188.8,315.49,66.73,-86.80010000000001
2022-10-03,169.91,209.35,65.94,-154.8678
2022-10-04,161.95,246.31,66.92,-102.35039999999998
2022-10-05,173.695,103.19,67.07,-269.0159
2022-10-06,175.71,100.8,68.96,-276.1352
2022-10-07,156.205,163.89,69.85,-174.36450000000002
2022-10-10,154.12,162.09,66.77,-170.85490000000001
2022-10-11,156.78,259.87,66.34,-78.2358
2022-10-12,160.19,282.54,66.71,-62.52269999999997
2022-10-13,153.81,257.46,68.84,-75.63080000000002
2022-10-14,141.995,260.65,68.02,-48.50740000000003
2022-10-17,127.98,152.61,67.51,-128.3287
2022-10-18,113.22,183.18,67.77,-68.33489999999999
2022-10-19,112.51,168.45,67.29,-81.46730000000002
2022-10-20,127.145,140.22,66.87,-138.81189999999998
2022-10-21,113.575,163.45,68.72,-89.12640000000002
2022-10-24,99.17,80.62,72.32,-144.4784
2022-10-25,99.795,105.4,77.11,-122.7207
2022-10-26,104.32,121.4,75.79,-115.28229999999998
2022-10-27,107.385,124.69,80.21,-119.75770000000001
2022-10-28,112.244,105.52,81.21,-149.0157
2022-10-31,123.35,145.22,79.97,-131.06889999999999
