Start date;End date;Germany/Luxembourg [€/MWh] Calculated resolutions;∅ DE/LU neighbours [€/MWh] Calculated resolutions;Belgium [€/MWh] Calculated resolutions;Denmark 1 [€/MWh] Calculated resolutions;Denmark 2 [€/MWh] Calculated resolutions;France [€/MWh] Calculated resolutions;Netherlands [€/MWh] Calculated resolutions;Norway 2 [€/MWh] Calculated resolutions;Austria [€/MWh] Calculated resolutions;Poland [€/MWh] Calculated resolutions;Sweden 4 [€/MWh] Calculated resolutions;Switzerland [€/MWh] Calculated resolutions;Czech Republic [€/MWh] Calculated resolutions;DE/AT/LU [€/MWh] Calculated resolutions;Northern Italy [€/MWh] Calculated resolutions;Slovenia [€/MWh] Calculated resolutions;Hungary [€/MWh] Calculated resolutions
Jul 1, 2022;Jul 2, 2022;314.38;307.33;305.54;305.87;311.00;343.16;306.52;229.97;334.18;261.53;307.95;345.76;329.22;-;370.68;344.47;360.76
Jul 2, 2022;Jul 3, 2022;218.92;225.55;238.18;218.42;218.42;265.62;225.80;196.99;255.68;222.47;115.70;296.90;226.84;-;355.80;255.42;237.58
Jul 3, 2022;Jul 4, 2022;200.11;201.37;206.04;200.11;200.11;215.88;202.42;181.54;225.02;179.46;169.91;229.77;204.82;-;372.74;240.59;221.82
Jul 4, 2022;Jul 5, 2022;293.89;296.80;313.30;265.97;265.97;369.46;286.11;220.35;344.10;291.72;254.47;344.97;308.40;-;392.88;375.92;389.48
Jul 5, 2022;Jul 6, 2022;318.37;296.44;324.32;246.06;246.06;371.60;308.18;228.29;353.74;316.71;167.59;370.82;327.46;-;419.87;395.00;360.82
Jul 6, 2022;Jul 7, 2022;303.54;287.31;337.73;259.46;251.52;388.69;301.86;230.70;347.33;248.93;117.69;376.58;299.89;-;428.90;359.92;365.57
Jul 7, 2022;Jul 8, 2022;213.22;251.51;287.95;195.37;164.09;381.79;235.46;193.67;310.71;271.08;156.27;357.13;213.05;-;412.90;357.74;371.85
Jul 8, 2022;Jul 9, 2022;295.92;274.80;351.44;193.79;193.79;410.95;312.06;203.12;303.83;256.15;133.72;395.98;268.00;-;425.24;313.84;286.94
Jul 9, 2022;Jul 10, 2022;148.14;162.98;245.03;101.35;4.39;332.92;182.15;118.39;174.24;130.49;3.77;383.90;116.16;-;377.67;191.97;170.30
Jul 10, 2022;Jul 11, 2022;115.16;146.86;201.73;115.16;95.35;224.43;200.59;113.26;124.93;97.44;35.04;315.60;91.96;-;323.98;126.73;110.05
Jul 11, 2022;Jul 12, 2022;372.59;348.43;364.96;369.93;369.53;384.10;363.96;292.68;376.94;244.40;296.50;399.33;370.42;-;415.94;377.97;374.66
Jul 12, 2022;Jul 13, 2022;377.66;340.16;378.38;372.88;350.42;432.43;367.43;297.54;396.77;151.60;203.46;414.60;376.28;-;440.17;401.46;393.10
Jul 13, 2022;Jul 14, 2022;352.16;287.43;379.21;276.09;113.46;446.95;344.93;257.36;377.99;159.04;51.92;413.62;341.20;-;451.52;383.44;364.70
Jul 14, 2022;Jul 15, 2022;367.38;271.52;374.78;253.28;5.58;386.72;363.88;264.70;391.15;170.35;5.58;388.74;381.99;-;447.58;421.31;417.38
Jul 15, 2022;Jul 16, 2022;329.92;261.94;356.40;219.36;66.92;397.49;327.95;236.42;384.28;153.22;3.13;397.81;338.36;-;438.76;402.42;390.48
Jul 16, 2022;Jul 17, 2022;174.81;189.44;237.70;132.91;94.72;320.30;175.66;147.25;294.52;164.86;11.82;346.32;157.77;-;425.15;305.01;272.57
Jul 17, 2022;Jul 18, 2022;221.86;195.05;214.64;219.26;212.74;239.88;215.07;212.13;242.26;136.23;10.25;239.38;203.69;-;362.34;235.38;224.37
Jul 18, 2022;Jul 19, 2022;396.07;358.42;408.21;381.67;354.48;486.00;377.37;318.04;449.06;274.32;84.40;419.04;390.05;-;493.22;449.18;426.37
Jul 19, 2022;Jul 20, 2022;397.09;360.37;354.51;394.20;394.20;521.30;359.76;326.28;444.49;227.66;122.58;428.10;391.01;-;527.09;457.07;465.89
Jul 20, 2022;Jul 21, 2022;332.70;319.10;339.00;276.71;195.89;589.22;325.21;271.69;419.40;232.13;100.40;444.55;315.92;-;585.94;438.86;432.40
Jul 21, 2022;Jul 22, 2022;396.73;372.26;349.19;372.96;334.62;555.36;354.09;328.26;451.62;228.68;279.05;434.93;406.13;-;595.27;464.69;472.13
Jul 22, 2022;Jul 23, 2022;377.45;348.15;339.56;324.82;289.93;494.03;333.04;310.60;436.81;323.57;166.65;413.19;397.47;-;557.28;472.01;462.22
Jul 23, 2022;Jul 24, 2022;324.99;302.35;322.38;318.14;255.33;348.32;308.84;306.65;364.86;300.84;108.95;347.91;343.61;-;458.19;366.70;360.20
Jul 24, 2022;Jul 25, 2022;260.63;248.64;238.59;258.65;235.50;334.13;239.45;254.94;333.36;163.83;68.29;322.64;285.67;-;362.65;322.15;314.93
